Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,TimeOfDay,DayOfWeek,IndoorOutdoor,ActivityType,IsFall
-0.368739126,0.883508926,10.25016809,198.6693649,-75.32930767,-54.71674111,Afternoon,Tuesday,Outdoor,Running,0
-0.598578516,1.159757932,8.636081059,-54.89718169,126.2647793,-63.74917355,Evening,Monday,Outdoor,Running,0
0.489425181,1.38664476,9.455714968,-35.61766416,-48.34185528,188.2688586,Afternoon,Wednesday,Indoor,Stairs,1
1.472544016,1.674920977,9.097337919,-120.2277049,-62.26142615,-118.0133881,Night,Saturday,Outdoor,Walking,1
0.997564546,0.414804629,11.17099154,44.80209915,-143.6186399,-101.0712135,Evening,Tuesday,Outdoor,Running,0
-1.795151682,-1.694348233,10.78588488,-61.83582517,-190.19827,-91.7633795,Morning,Saturday,Indoor,Stairs,1
-0.503971159,-0.655062612,11.36788956,-67.46119682,-159.1290827,15.87817238,Morning,Saturday,Outdoor,Stairs,1
1.216127608,1.428683907,10.38143768,-136.4694251,-133.2076672,9.911949549,Night,Friday,Indoor,Stairs,0
0.640259075,0.21869907,11.90209931,113.4395294,-74.82880936,24.58658622,Night,Friday,Outdoor,Running,1
-0.850141384,0.611548928,10.57422934,132.4031965,-74.37389434,-29.27377626,Morning,Wednesday,Indoor,Standing,1
1.051227455,-0.895450582,9.626441925,-187.7681544,-143.1686195,-147.9500036,Afternoon,Saturday,Indoor,Running,1
-0.346921107,-0.029943893,8.40288337,41.93572882,-11.04130288,-65.18437796,Morning,Tuesday,Indoor,Sitting,1
-1.510933705,-0.860722696,10.18294061,39.200968,40.84609689,-103.1273699,Afternoon,Sunday,Outdoor,Walking,0
-0.093228826,0.474528712,9.729711964,-81.54825664,113.3376586,189.5560181,Afternoon,Tuesday,Outdoor,Sitting,0
1.654616858,-0.325210086,10.97559269,7.908652676,142.9435086,-195.2098952,Morning,Friday,Outdoor,Stairs,1
-0.932834501,1.757237216,10.82025908,-9.897921763,-103.5827067,-102.661745,Morning,Monday,Indoor,Stairs,1
1.468874452,-0.752030999,8.76140288,186.9879013,-151.2338214,125.7323167,Afternoon,Sunday,Indoor,Walking,0
0.935173664,-0.28572363,11.07612255,-199.794433,-83.35546898,186.2268684,Night,Sunday,Outdoor,Standing,1
